Movie Title,Oscar Ceremony Year,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
Darkest Hour,2018,Winner,,,,,,,Nominated,Nominated,Nominated,,,,,,,,,,,,,Winner,,,Nominated,,,,,,,,
Dawn of the Planet of the Apes,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Day & Night,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Day One,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Dcera (Daughter),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Dear Basketball,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Death of a Shadow (Dood van een Schaduw),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Deepwater Horizon,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,
Defiance,2009,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
DeKalb Elementary,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
A Better Life,2012,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures,2009,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,
Despicable Me 2,2014,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detainment,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Dimanche/Sunday (Sunday),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Dirty Wars,2014,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
District 9,2010,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,Nominated,
Django Unchained,2013,,Winner,,,,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,Nominated,,,,Winner
Do Not Split,2021,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Doctor Strange,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Dogtooth,2011,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Don't Look Up,2022,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,Nominated
Doubt,2009,,Nominated,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Drive,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,
Drive My Car,2022,,,,,,,,Nominated,,,Nominated,,,,,,,Winner,,,,,,,,,,,,,,,Nominated,
Dune,2022,,,,,,,,Nominated,Winner,Nominated,,,,,,Winner,,,,,,,Nominated,Winner,,Winner,,,Winner,,,Winner,Nominated,
Dunkirk,2018,,,,,,,,Nominated,Nominated,,Nominated,,,,,Winner,,,,,,,,Nominated,,Nominated,,,,Winner,Winner,,,
Edith+Eddie,2018,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
El Conde,2024,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental,2024,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elle,2017,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis,2023,Nominated,,,,,,,Nominated,Nominated,Nominated,,,,,,Nominated,,,,,,,Nominated,,,Nominated,,,Nominated,,,,,
Embrace of the Serpent,2016,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Emma,2021,,,,,,,,,,Nominated,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Empire of Light,2023,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
Encanto,2022,,,,,Winner,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Encounters at the End of the World,2009,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
End Game,2019,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Ennemis Intérieurs,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
EO,2023,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Ernest & Celestine,2014,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything Everywhere All at Once,2023,,Winner,Winner,Nominated,,,,Winner,,Nominated,Winner,,,,,Winner,,,,,,,,Nominated,,,,,,,,,,Winner
Everything Will Be Okay (Alles Wird Gut),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Ex Machina,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,Nominated
Exit through the Gift Shop,2011,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Extremely Loud & Incredibly Close,2012,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,
Extremis,2017,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Faces Places,2018,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Facing Fear,2014,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Fantastic Beasts and Where to Find Them,2017,,,,,,,,,,Winner,,,,,,,,,,,,,,,,Nominated,,,,,,,,
Fantastic Mr. Fox,2010,,,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Fauve,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Feast,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Feeling Through,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Fences,2017,Nominated,,,Winner,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Feral,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Ferdinand,2018,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finding Vivian Maier,2015,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Fire at Sea,2017,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Fire of Love,2023,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,
First Man,2019,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,Nominated,Nominated,Winner,,
First Reformed,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Flee,2022,,,,,Nominated,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,
