Movie Title,Release Year
"The Boy, the Mole, the Fox and the Horse",2023
The Breadwinner,2018
The Broken Circle Breakdown,2014
The Cave,2020
The Class,2009
The Color Purple,2024
The Confession,2011
The Conscience of Nhem En,2009
The Cove,2010
The Creator,2024
The Croods,2014
The Crush,2011
The Curious Case of Benjamin Button,2009
The Dam Keeper,2015
The Danish Girl,2016
The Dark Knight,2009
The Descendants,2012
The Disaster Artist,2018
The Door,2010
The Dress,2022
The Duchess,2009
The Edge of Democracy,2020
The Elephant Whisperers,2023
The Eleven O'Clock,2018
The Eternal Memory,2024
The Eyes of Tammy Faye,2022
The Fabelmans,2023
The Fantastic Flying Books of Mr. Morris Lessmore,2012
The Father,2021
The Favourite,2019
The Fighter,2011
The Final Inch,2009
The Florida Project,2018
The Flying Sailor,2023
The Garden,2009
The Gatekeepers,2013
The Girl with the Dragon Tattoo,2012
The Grand Budapest Hotel,2015
The Grandmaster,2014
The Great Beauty,2014
The Great Gatsby,2014
The Gruffalo,2011
The Hand of God,2022
The Hateful Eight,2016
The Help,2012
The Hobbit: An Unexpected Journey,2013
The Hobbit: The Battle of the Five Armies,2015
The Hobbit: The Desolation of Smaug,2014
The Holdovers,2024
The Hunt,2014
The Hurt Locker,2010
The Ides of March,2012
The Illusionist,2011
The Imaginarium of Doctor Parnassus,2010
The Imitation Game,2015
The Impossible,2013
The Insult,2018
The Invisible War,2013
The Invisible Woman,2014
The Irishman,2020
The Iron Lady,2012
The Judge,2015
The Jungle Book,2017
The Kids Are All Right,2011
The King's Speech,2011
The Lady and the Reaper (La Dama y la Muerte),2010
The Lady in Number 6: Music Saved My Life,2014
The Last Campaign of Governor Booth Gardner,2010
The Last Repair Shop,2024
The Last Station,2010
The Last Truck: Closing of a GM Plant,2010
The Letter Room,2021
The Lighthouse,2020
The Lion King,2020
The Lobster,2017
The Lone Ranger,2014
The Long Goodbye,2022
The Look of Silence,2016
The Lost Daughter,2022
The Lost Thing,2011
The Lovely Bones,2010
The Man Who Sold His Skin,2021
The Martha Mitchell Effect,2023
The Martian,2016
The Master,2013
